Model,MAE,RMSE,MAPE,sMAPE,MASE
Prophet,0.5007717289676539,0.6197660581509995,60.736486119716595,47.53511609795562,0.9822734569205354
SARIMA,0.5174680290245097,0.6345641943479999,57.20283655857058,51.21619595101619,0.9834605879444615
XGBoost,0.6293114592514771,0.7491652930247187,66.5554546382924,66.24296046141713,1.2454060109721155
Holt-Winters,0.6482475154397397,0.76476723798196,57.95891952959462,76.29722397648007,1.1490162942120241
