Model,MAE,RMSE,MAPE,sMAPE,MASE
Prophet,0.48872406983510913,0.6060663146289387,62.78985609257914,47.505230022845055,0.9436709689855791
SARIMA,0.5079411583814172,0.6233621824398663,58.81890891503209,51.64781607028156,0.9464428976688851
XGBoost,0.6435370960755273,0.7611415027974915,69.18713065960445,69.43516333425998,1.2622133288815545
Holt-Winters,0.6637023790846472,0.7801670215212281,59.94845858848138,80.48660917936324,1.1532042717875453
