Model,MAE,RMSE,MAPE,sMAPE,MASE
Prophet,0.5051308934127858,0.6247651383173072,60.9587225572791,47.9590362001712,0.9726520295741153
SARIMA,0.5220599100180647,0.6397855975984378,57.403578460029415,51.66579737060069,0.9744545052124616
XGBoost,0.6285146877598929,0.7481119179470123,66.57491950053492,66.16646346291893,1.2292057956734568
Holt-Winters,0.6490493842620427,0.7658578785344906,58.02917279328649,76.35470874988172,1.1356059928343836
